dateObserved;temperature;relativeHumidity
2024-09-24T00:20Z;10.841916;94.52262
2024-09-24T00:40Z;10.679027;95.21118
2024-09-24T00:50Z;10.7084;95.071945
2024-09-24T01:00Z;10.727093;94.94415
2024-09-24T01:20Z;10.863279;95.04715
2024-09-24T01:50Z;11.416038;93.465935
2024-09-24T02:40Z;12.072938;90.83566
2024-09-24T02:50Z;12.059587;90.63348
2024-09-24T03:00Z;12.225147;90.160446
2024-09-24T03:20Z;12.225147;91.909515
2024-09-24T03:30Z;11.987488;92.19943
2024-09-24T03:40Z;11.733807;91.451744
2024-09-24T04:00Z;11.554894;92.13458
2024-09-24T04:10Z;11.493477;92.0354
2024-09-24T04:20Z;11.480125;92.125046
2024-09-24T04:30Z;11.488136;92.71824
2024-09-24T04:40Z;11.450751;93.56893
2024-09-24T04:50Z;11.317235;93.3019
2024-09-24T05:00Z;11.311894;93.515526
2024-09-24T05:20Z;11.135653;93.696724
2024-09-24T05:40Z;11.27718;92.971924
2024-09-24T05:50Z;11.392004;93.02342
2024-09-24T07:10Z;11.723125;92.56184
2024-09-24T07:50Z;11.888685;93.780655
2024-09-24T08:00Z;12.022202;93.83978
2024-09-24T08:10Z;12.33196;93.32479
2024-09-24T08:30Z;12.521553;90.82231
2024-09-24T09:10Z;13.090333;88.32365
2024-09-24T09:20Z;13.434806;85.716255
2024-09-24T09:40Z;14.92752;82.262
2024-09-24T09:50Z;15.194552;81.23201
2024-09-24T10:00Z;15.58442;80.10666
2024-09-24T10:20Z;16.15053;72.51148
2024-09-24T10:30Z;16.369497;71.24307
2024-09-24T10:50Z;16.599146;69.89647
2024-09-24T11:10Z;17.005035;67.57137
2024-09-24T11:50Z;17.573816;63.80621
2024-09-24T12:00Z;17.838179;63.169147
2024-09-24T12:10Z;17.416265;62.3299
2024-09-24T12:20Z;17.418936;61.67567
2024-09-24T12:30Z;17.982376;60.491188
2024-09-24T12:50Z;17.923628;57.511864
2024-09-24T13:00Z;17.891584;58.274815
2024-09-24T13:10Z;17.731365;58.316776
2024-09-24T13:40Z;18.601892;55.255436
2024-09-24T13:50Z;18.302814;55.364155
2024-09-24T14:10Z;18.81552;54.83581
2024-09-24T14:20Z;18.326849;56.38842
2024-09-24T14:50Z;17.832838;57.73312
2024-09-24T15:00Z;17.475014;58.70016
2024-09-24T15:20Z;17.710003;58.921417
2024-09-24T15:40Z;17.515068;61.505913
2024-09-24T16:00Z;16.916914;63.68414
2024-09-24T16:10Z;17.229343;62.577858
2024-09-24T16:20Z;16.754025;63.52201
